subj_id	i1_run_type	i2_run_type	i1_group	i2_group	i1_item	i2_item	i1_pair	i2_pair	i1_color	i2_color	i1_obj	i2_obj	pair_index
08	odd	odd	1	1	1	2	1	1	96	96	1	2	1
08	odd	odd	1	1	1	3	1	2	96	120	1	13	2
08	odd	odd	1	1	1	4	1	2	96	120	1	14	3
08	odd	odd	1	1	1	5	1	3	96	144	1	3	4
08	odd	odd	1	1	1	6	1	3	96	144	1	4	5
08	odd	odd	1	1	1	7	1	4	96	168	1	15	6
08	odd	odd	1	1	1	8	1	4	96	168	1	16	7
08	odd	odd	1	1	1	9	1	5	96	192	1	5	8
08	odd	odd	1	1	1	10	1	5	96	192	1	6	9
08	odd	odd	1	1	1	11	1	6	96	216	1	17	10
08	odd	odd	1	1	1	12	1	6	96	216	1	18	11
08	odd	odd	1	2	1	13	1	7	96	288	1	7	12
08	odd	odd	1	2	1	14	1	7	96	288	1	8	13
08	odd	odd	1	2	1	15	1	8	96	312	1	19	14
08	odd	odd	1	2	1	16	1	8	96	312	1	20	15
08	odd	odd	1	2	1	17	1	9	96	336	1	9	16
08	odd	odd	1	2	1	18	1	9	96	336	1	10	17
08	odd	odd	1	2	1	19	1	10	96	360	1	21	18
08	odd	odd	1	2	1	20	1	10	96	360	1	22	19
08	odd	odd	1	2	1	21	1	11	96	24	1	11	20
08	odd	odd	1	2	1	22	1	11	96	24	1	12	21
08	odd	odd	1	2	1	23	1	12	96	48	1	23	22
08	odd	odd	1	2	1	24	1	12	96	48	1	24	23
08	odd	even	1	1	1	1	1	1	96	96	1	1	24
08	odd	even	1	1	1	2	1	1	96	96	1	2	25
08	odd	even	1	1	1	3	1	2	96	120	1	13	26
08	odd	even	1	1	1	4	1	2	96	120	1	14	27
08	odd	even	1	1	1	5	1	3	96	144	1	3	28
08	odd	even	1	1	1	6	1	3	96	144	1	4	29
08	odd	even	1	1	1	7	1	4	96	168	1	15	30
08	odd	even	1	1	1	8	1	4	96	168	1	16	31
08	odd	even	1	1	1	9	1	5	96	192	1	5	32
08	odd	even	1	1	1	10	1	5	96	192	1	6	33
08	odd	even	1	1	1	11	1	6	96	216	1	17	34
08	odd	even	1	1	1	12	1	6	96	216	1	18	35
08	odd	even	1	2	1	13	1	7	96	288	1	7	36
08	odd	even	1	2	1	14	1	7	96	288	1	8	37
08	odd	even	1	2	1	15	1	8	96	312	1	19	38
08	odd	even	1	2	1	16	1	8	96	312	1	20	39
08	odd	even	1	2	1	17	1	9	96	336	1	9	40
08	odd	even	1	2	1	18	1	9	96	336	1	10	41
08	odd	even	1	2	1	19	1	10	96	360	1	21	42
08	odd	even	1	2	1	20	1	10	96	360	1	22	43
08	odd	even	1	2	1	21	1	11	96	24	1	11	44
08	odd	even	1	2	1	22	1	11	96	24	1	12	45
08	odd	even	1	2	1	23	1	12	96	48	1	23	46
08	odd	even	1	2	1	24	1	12	96	48	1	24	47
08	odd	odd	1	1	2	3	1	2	96	120	2	13	48
08	odd	odd	1	1	2	4	1	2	96	120	2	14	49
08	odd	odd	1	1	2	5	1	3	96	144	2	3	50
08	odd	odd	1	1	2	6	1	3	96	144	2	4	51
08	odd	odd	1	1	2	7	1	4	96	168	2	15	52
08	odd	odd	1	1	2	8	1	4	96	168	2	16	53
08	odd	odd	1	1	2	9	1	5	96	192	2	5	54
08	odd	odd	1	1	2	10	1	5	96	192	2	6	55
08	odd	odd	1	1	2	11	1	6	96	216	2	17	56
08	odd	odd	1	1	2	12	1	6	96	216	2	18	57
08	odd	odd	1	2	2	13	1	7	96	288	2	7	58
08	odd	odd	1	2	2	14	1	7	96	288	2	8	59
08	odd	odd	1	2	2	15	1	8	96	312	2	19	60
08	odd	odd	1	2	2	16	1	8	96	312	2	20	61
08	odd	odd	1	2	2	17	1	9	96	336	2	9	62
08	odd	odd	1	2	2	18	1	9	96	336	2	10	63
08	odd	odd	1	2	2	19	1	10	96	360	2	21	64
08	odd	odd	1	2	2	20	1	10	96	360	2	22	65
08	odd	odd	1	2	2	21	1	11	96	24	2	11	66
08	odd	odd	1	2	2	22	1	11	96	24	2	12	67
08	odd	odd	1	2	2	23	1	12	96	48	2	23	68
08	odd	odd	1	2	2	24	1	12	96	48	2	24	69
08	odd	even	1	1	2	1	1	1	96	96	2	1	70
08	odd	even	1	1	2	2	1	1	96	96	2	2	71
08	odd	even	1	1	2	3	1	2	96	120	2	13	72
08	odd	even	1	1	2	4	1	2	96	120	2	14	73
08	odd	even	1	1	2	5	1	3	96	144	2	3	74
08	odd	even	1	1	2	6	1	3	96	144	2	4	75
08	odd	even	1	1	2	7	1	4	96	168	2	15	76
08	odd	even	1	1	2	8	1	4	96	168	2	16	77
08	odd	even	1	1	2	9	1	5	96	192	2	5	78
08	odd	even	1	1	2	10	1	5	96	192	2	6	79
